circuit,map,type,direction,location,country,last_length_used,turns,grands_prix,seasons,grands_prix_held
"{'text': 'Adelaide Street Circuit', 'url': 'https://en.wikipedia.org/wiki/Adelaide_Street_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Adelaide_(long_route).svg'}",Street circuit,Clockwise,"{'text': 'Adelaide', 'url': 'https://en.wikipedia.org/wiki/Adelaide'}",Australia,3.780 km (2.349 mi),16,"{'text': 'Australian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Australian_Grand_Prix'}",1985 – 1995,11
"{'text': 'Ain-Diab Circuit', 'url': 'https://en.wikipedia.org/wiki/Ain-Diab_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Ain-Diab.svg'}",Road circuit,Clockwise,"{'text': 'Casablanca', 'url': 'https://en.wikipedia.org/wiki/Casablanca'}",Morocco,7.618 km (4.734 mi),18,"{'text': 'Moroccan Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Moroccan_Grand_Prix'}","{'text': '1958', 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_season'}",1
"{'text': 'Aintree Motor Racing Circuit', 'url': 'https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Aintree.svg'}",Road circuit,Clockwise,"{'text': 'Aintree', 'url': 'https://en.wikipedia.org/wiki/Aintree'}",United Kingdom,4.828 km (3.000 mi),12,"{'text': 'British Grand Prix', 'url': 'https://en.wikipedia.org/wiki/British_Grand_Prix'}","1955 , 1957 , 1959 , 1961 – 1962",5
"{'text': 'Albert Park Circuit *', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Albert_Park_Circuit_2021.svg'}",Street circuit,Clockwise,"{'text': 'Melbourne', 'url': 'https://en.wikipedia.org/wiki/Melbourne'}",Australia,5.278 km (3.280 mi),16,"{'text': 'Australian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Australian_Grand_Prix'}","1996 – 2019 , 2022 – 2025",28
"{'text': 'Algarve International Circuit', 'url': 'https://en.wikipedia.org/wiki/Algarve_International_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg'}",Race circuit,Clockwise,"{'text': 'Portimão', 'url': 'https://en.wikipedia.org/wiki/Portim%C3%A3o'}",Portugal,4.653 km (2.891 mi),15,"{'text': 'Portuguese Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Portuguese_Grand_Prix'}",2020 – 2021,2
"{'text': 'Autódromo do Estoril', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_de_Estoril_1994-1999.png'}",Race circuit,Clockwise,"{'text': 'Estoril', 'url': 'https://en.wikipedia.org/wiki/Estoril'}",Portugal,4.360 km (2.709 mi),13,"{'text': 'Portuguese Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Portuguese_Grand_Prix'}",1984 – 1996,13
"{'text': 'Autódromo Hermanos Rodríguez *', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg'}",Race circuit,Clockwise,"{'text': 'Mexico City', 'url': 'https://en.wikipedia.org/wiki/Mexico_City'}",Mexico,4.304 km (2.674 mi),17,"Mexican Grand Prix , Mexico City Grand Prix","1963 – 1970 , 1986 – 1992 , 2015 – 2019 , 2021 – 2025",25
"{'text': 'Autódromo Internacional do Rio de Janeiro', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png'}",Race circuit,Anti-clockwise,"{'text': 'Rio de Janeiro', 'url': 'https://en.wikipedia.org/wiki/Rio_de_Janeiro'}",Brazil,5.031 km (3.126 mi),11,"{'text': 'Brazilian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Brazilian_Grand_Prix'}","1978 , 1981 – 1989",10
"{'text': 'Autodromo Internazionale del Mugello', 'url': 'https://en.wikipedia.org/wiki/Autodromo_Internazionale_del_Mugello'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Mugello_Racing_Circuit_track_map_15_turns.svg'}",Race circuit,Clockwise,"{'text': 'Scarperia e San Piero', 'url': 'https://en.wikipedia.org/wiki/Scarperia_e_San_Piero'}",Italy,5.245 km (3.259 mi),15,"{'text': 'Tuscan Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Tuscan_Grand_Prix'}","{'text': '2020', 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}",1
"{'text': 'Autodromo Internazionale Enzo e Dino Ferrari *', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Imola_2009.svg'}",Race circuit,Anti-clockwise,"{'text': 'Imola', 'url': 'https://en.wikipedia.org/wiki/Imola'}",Italy,4.909 km (3.050 mi),19,"Italian Grand Prix , San Marino Grand Prix , Emilia Romagna Grand Prix","1980 – 2006 , 2020 – 2022 , 2024 – 2025",32
"{'text': 'Autodromo José Carlos Pace *', 'url': 'https://en.wikipedia.org/wiki/Interlagos_circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_(AKA_Interlagos)_track_map.svg'}",Race circuit,Anti-clockwise,"{'text': 'São Paulo', 'url': 'https://en.wikipedia.org/wiki/S%C3%A3o_Paulo'}",Brazil,4.309 km (2.677 mi),15,"Brazilian Grand Prix , São Paulo Grand Prix","1973 – 1977 , 1979 – 1980 , 1990 – 2019 , 2021 – 2025",42
"{'text': 'Autodromo Nazionale di Monza *', 'url': 'https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Monza_track_map.svg'}",Race circuit,Clockwise,"{'text': 'Monza', 'url': 'https://en.wikipedia.org/wiki/Monza'}",Italy,5.793 km (3.600 mi),11,"{'text': 'Italian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Italian_Grand_Prix'}","1950 – 1979 , 1981 – 2025",75
"{'text': 'Autódromo Oscar y Juan Gálvez', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg'}",Race circuit,Clockwise,"{'text': 'Buenos Aires', 'url': 'https://en.wikipedia.org/wiki/Buenos_Aires'}",Argentina,4.259 km (2.646 mi),18,"{'text': 'Argentine Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Argentine_Grand_Prix'}","1953 – 1958 , 1960 , 1972 – 1975 , 1977 – 1981 , 1995 – 1998",20
"{'text': 'AVUS', 'url': 'https://en.wikipedia.org/wiki/AVUS'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_AVUS.svg'}",Road circuit,Anti-clockwise,"{'text': 'Berlin', 'url': 'https://en.wikipedia.org/wiki/Berlin'}",Germany,8.300 km (5.157 mi),4,"{'text': 'German Grand Prix', 'url': 'https://en.wikipedia.org/wiki/German_Grand_Prix'}","{'text': '1959', 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_season'}",1
"{'text': 'Bahrain International Circuit *', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Bahrain_International_Circuit--Grand_Prix_Layout.svg'}",Race circuit,Clockwise,"{'text': 'Sakhir', 'url': 'https://en.wikipedia.org/wiki/Sakhir'}",Bahrain,5.412 km (3.363 mi),15,"Bahrain Grand Prix , Sakhir Grand Prix","2004 – 2010 , 2012 – 2025 [ c ]",22
"{'text': 'Baku City Circuit *', 'url': 'https://en.wikipedia.org/wiki/Baku_City_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Baku_Formula_One_circuit_map.svg'}",Street circuit,Anti-clockwise,"{'text': 'Baku', 'url': 'https://en.wikipedia.org/wiki/Baku'}",Azerbaijan,6.003 km (3.730 mi),20,"European Grand Prix , Azerbaijan Grand Prix","2016 – 2019 , 2021 – 2025",9
"{'text': 'Brands Hatch Circuit', 'url': 'https://en.wikipedia.org/wiki/Brands_Hatch'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Brands_Hatch_1976-1987.svg'}",Race circuit,Clockwise,"{'text': 'West Kingsdown', 'url': 'https://en.wikipedia.org/wiki/West_Kingsdown'}",United Kingdom,4.206 km (2.613 mi),11,"British Grand Prix , European Grand Prix","1964 , 1966 , 1968 , 1970 , 1972 , 1974 , 1976 , 1978 , 1980 , 1982 – 1986",14
"{'text': 'Buddh International Circuit', 'url': 'https://en.wikipedia.org/wiki/Buddh_International_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Buddh_Circuit_1.svg'}",Race circuit,Clockwise,"{'text': 'Greater Noida', 'url': 'https://en.wikipedia.org/wiki/Greater_Noida'}",India,5.141 km (3.194 mi),16,"{'text': 'Indian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Indian_Grand_Prix'}",2011 – 2013,3
"{'text': 'Bugatti Au Mans', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Le_Mans_Bugatti.png'}",Race circuit,Clockwise,"{'text': 'Le Mans', 'url': 'https://en.wikipedia.org/wiki/Le_Mans'}",France,4.430 km (2.753 mi),8,"{'text': 'French Grand Prix', 'url': 'https://en.wikipedia.org/wiki/French_Grand_Prix'}","{'text': '1967', 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_season'}",1
"{'text': 'Caesars Palace Grand Prix Circuit', 'url': 'https://en.wikipedia.org/wiki/Caesars_Palace_Grand_Prix'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Caesars_Palace.png'}",Street circuit,Anti-clockwise,"{'text': 'Paradise', 'url': 'https://en.wikipedia.org/wiki/Paradise,_Nevada'}",United States,3.650 km (2.268 mi),14,"{'text': 'Caesars Palace Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Caesars_Palace_Grand_Prix'}",1981 – 1982,2
"{'text': 'Charade Circuit', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Charade'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Charade_1958_1988.png'}",Road circuit,Clockwise,"{'text': 'Saint-Genès-Champanelle', 'url': 'https://en.wikipedia.org/wiki/Saint-Gen%C3%A8s-Champanelle'}",France,8.055 km (5.005 mi),38,"{'text': 'French Grand Prix', 'url': 'https://en.wikipedia.org/wiki/French_Grand_Prix'}","1965 , 1969 – 1970 , 1972",4
"{'text': 'Circuit Bremgarten', 'url': 'https://en.wikipedia.org/wiki/Circuit_Bremgarten'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Bremgarten.svg'}",Road circuit,Clockwise,"{'text': 'Bern', 'url': 'https://en.wikipedia.org/wiki/Bern'}",Switzerland,7.208 km (4.479 mi),14,"{'text': 'Swiss Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Swiss_Grand_Prix'}",1950 – 1954,5
"{'text': 'Circuit de Barcelona-Catalunya *', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_de_Catalunya_moto_2021.svg'}",Race circuit,Clockwise,"{'text': 'Montmeló', 'url': 'https://en.wikipedia.org/wiki/Montmel%C3%B3'}",Spain,4.657 km (2.894 mi),14,"{'text': 'Spanish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Spanish_Grand_Prix'}",1991 – 2025,35
"{'text': 'Circuit de Monaco *', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Monte_Carlo_Formula_1_track_map.svg'}",Street circuit,Clockwise,"{'text': 'Monte Carlo', 'url': 'https://en.wikipedia.org/wiki/Monte_Carlo'}",Monaco,3.337 km (2.074 mi),19,"{'text': 'Monaco Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Monaco_Grand_Prix'}","1950 , 1955 – 2019 , 2021 – 2025",71
"{'text': 'Circuit de Nevers Magny-Cours', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_de_Nevers_Magny-Cours.svg'}",Race circuit,Clockwise,"{'text': 'Magny-Cours', 'url': 'https://en.wikipedia.org/wiki/Magny-Cours'}",France,4.411 km (2.741 mi),16,"{'text': 'French Grand Prix', 'url': 'https://en.wikipedia.org/wiki/French_Grand_Prix'}",1991 – 2008,18
"{'text': 'Circuit de Pedralbes', 'url': 'https://en.wikipedia.org/wiki/Pedralbes_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Pedralbes.png'}",Street circuit,Clockwise,"{'text': 'Barcelona', 'url': 'https://en.wikipedia.org/wiki/Barcelona'}",Spain,6.316 km (3.925 mi),6,"{'text': 'Spanish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Spanish_Grand_Prix'}","[{'text': '1951', 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_season'}, {'text': '1954', 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_season'}]",2
"{'text': 'Circuit de Reims-Gueux', 'url': 'https://en.wikipedia.org/wiki/Reims-Gueux'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit-Reims-1954.png'}",Road circuit,Clockwise,"{'text': 'Gueux', 'url': 'https://en.wikipedia.org/wiki/Gueux,_Marne'}",France,8.302 km (5.159 mi),6,"{'text': 'French Grand Prix', 'url': 'https://en.wikipedia.org/wiki/French_Grand_Prix'}","1950 – 1951 , 1953 – 1954 , 1956 , 1958 – 1961 , 1963 , 1966",11
"{'text': 'Circuit de Spa-Francorchamps *', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Spa-Francorchamps_of_Belgium.svg'}",Race circuit,Clockwise,"{'text': 'Stavelot', 'url': 'https://en.wikipedia.org/wiki/Stavelot'}",Belgium,7.004 km (4.352 mi),20,"{'text': 'Belgian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Belgian_Grand_Prix'}","1950 – 1956 , 1958 , 1960 – 1968 , 1970 , 1983 , 1985 – 2002 , 2004 – 2005 , 2007 – 2025",58
"{'text': 'Circuit Dijon-Prenois', 'url': 'https://en.wikipedia.org/wiki/Dijon-Prenois'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Dijon-Prenois_Circuit.svg'}",Race circuit,Clockwise,"{'text': 'Prenois', 'url': 'https://en.wikipedia.org/wiki/Prenois'}",France,3.886 km (2.415 mi),12,"French Grand Prix , Swiss Grand Prix","1974 , 1977 , 1979 , 1981 – 1982 , 1984",6
"{'text': 'Circuit Gilles-Villeneuve *', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Gilles_Villeneuve.svg'}",Street circuit,Clockwise,"{'text': 'Montreal', 'url': 'https://en.wikipedia.org/wiki/Montreal'}",Canada,4.361 km (2.710 mi),14,"{'text': 'Canadian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Canadian_Grand_Prix'}","1978 – 1986 , 1988 – 2008 , 2010 – 2019 , 2022 – 2025",44
"{'text': 'Circuit Mont-Tremblant', 'url': 'https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Mont_Tremblant.png'}",Race circuit,Clockwise,"{'text': 'Mont-Tremblant', 'url': 'https://en.wikipedia.org/wiki/Mont-Tremblant,_Quebec'}",Canada,4.265 km (2.650 mi),15,"{'text': 'Canadian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Canadian_Grand_Prix'}","[{'text': '1968', 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_season'}, {'text': '1970', 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_season'}]",2
"{'text': 'Circuit of the Americas *', 'url': 'https://en.wikipedia.org/wiki/Circuit_of_the_Americas'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Austin_circuit.svg'}",Race circuit,Anti-clockwise,"{'text': 'Austin', 'url': 'https://en.wikipedia.org/wiki/Austin,_Texas'}",United States,5.513 km (3.426 mi),20,"{'text': 'United States Grand Prix', 'url': 'https://en.wikipedia.org/wiki/United_States_Grand_Prix'}","2012 – 2019 , 2021 – 2025",13
"{'text': 'Circuit Paul Ricard', 'url': 'https://en.wikipedia.org/wiki/Circuit_Paul_Ricard'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Le_Castellet_circuit_map_Formula_One_2019_and_2021_with_corner_names_English_19_07_2021.svg'}",Race circuit,Clockwise,"{'text': 'Le Castellet', 'url': 'https://en.wikipedia.org/wiki/Le_Castellet,_Var'}",France,5.842 km (3.630 mi),15,"{'text': 'French Grand Prix', 'url': 'https://en.wikipedia.org/wiki/French_Grand_Prix'}","1971 , 1973 , 1975 – 1976 , 1978 , 1980 , 1982 – 1983 , 1985 – 1990 , 2018 – 2019 , 2021 – 2022",18
"{'text': 'Circuit Zandvoort *', 'url': 'https://en.wikipedia.org/wiki/Circuit_Zandvoort'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Zandvoort_Circuit.png'}",Race circuit,Clockwise,"{'text': 'Zandvoort', 'url': 'https://en.wikipedia.org/wiki/Zandvoort'}",Netherlands,4.259 km (2.646 mi),14,"{'text': 'Dutch Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Dutch_Grand_Prix'}","1952 – 1953 , 1955 , 1958 – 1971 , 1973 – 1985 , 2021 – 2025",35
"{'text': 'Circuit Zolder', 'url': 'https://en.wikipedia.org/wiki/Circuit_Zolder'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Zolder-1975-1985.svg'}",Race circuit,Clockwise,"{'text': 'Heusden-Zolder', 'url': 'https://en.wikipedia.org/wiki/Heusden-Zolder'}",Belgium,4.262 km (2.648 mi),10,"{'text': 'Belgian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Belgian_Grand_Prix'}","1973 , 1975 – 1982 , 1984",10
"{'text': 'Circuito da Boavista', 'url': 'https://en.wikipedia.org/wiki/Circuito_da_Boavista'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Boavista_(Oporto).svg'}",Street circuit,Anti-clockwise,"{'text': 'Porto', 'url': 'https://en.wikipedia.org/wiki/Porto'}",Portugal,7.775 km (4.831 mi),15,"{'text': 'Portuguese Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Portuguese_Grand_Prix'}","[{'text': '1958', 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_season'}, {'text': '1960', 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_season'}]",2
"{'text': 'Circuito de Monsanto', 'url': 'https://en.wikipedia.org/wiki/Circuito_de_Monsanto'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Monsanto.png'}",Street circuit,Clockwise,"{'text': 'Lisbon', 'url': 'https://en.wikipedia.org/wiki/Lisbon'}",Portugal,5.440 km (3.380 mi),9,"{'text': 'Portuguese Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Portuguese_Grand_Prix'}","{'text': '1959', 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_season'}",1
"{'text': 'Circuito Permanente de Jerez', 'url': 'https://en.wikipedia.org/wiki/Circuito_de_Jerez'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Jerez_Grand_prix_Circuit_1994-2003.svg'}",Race circuit,Clockwise,"{'text': 'Jerez de la Frontera', 'url': 'https://en.wikipedia.org/wiki/Jerez_de_la_Frontera'}",Spain,4.428 km (2.751 mi),13,"Spanish Grand Prix , European Grand Prix","1986 – 1990 , 1994 , 1997",7
"{'text': 'Circuito Permanente del Jarama', 'url': 'https://en.wikipedia.org/wiki/Circuito_del_Jarama'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuito_Permanente_del_Jarama_1980.svg'}",Race circuit,Clockwise,"{'text': 'San Sebastián de los Reyes', 'url': 'https://en.wikipedia.org/wiki/San_Sebasti%C3%A1n_de_los_Reyes'}",Spain,3.314 km (2.059 mi),12,"{'text': 'Spanish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Spanish_Grand_Prix'}","1968 , 1970 , 1972 , 1974 , 1976 – 1979 , 1981",9
