constructor,licensed_in,seasons,races_entered,races_started,drivers,total_entries,wins,points,poles,fastest_laps,podiums,wcc_titles,wdc_titles
"{'text': 'Cooper Car Company', 'url': 'https://en.wikipedia.org/wiki/Cooper_Car_Company'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}]",129,129,111,528,16,301,11,14,58,2,2
"{'text': 'Dallara', 'url': 'https://en.wikipedia.org/wiki/Dallara'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}, {'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}]",80,78,6,144,0,15,0,0,2,0,0
"{'text': 'De Tomaso', 'url': 'https://en.wikipedia.org/wiki/De_Tomaso'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1970, 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_World_Championship'}]",15,10,8,18,0,0,0,0,0,0,0
"{'text': 'Eagle', 'url': 'https://en.wikipedia.org/wiki/All_American_Racers'}","[{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/United_States'}]","[{'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}]",26,26,7,35,1,17,0,2,2,0,0
"{'text': 'Eifelland', 'url': 'https://en.wikipedia.org/wiki/Eifelland'}","[{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}]","[{'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}]",8,8,1,8,0,0,0,0,0,0,0
"{'text': 'Emeryson', 'url': 'https://en.wikipedia.org/wiki/Emeryson'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}]",6,4,6,7,0,0,0,0,0,0,0
"{'text': 'Eisenacher Motorenwerk', 'url': 'https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk'}","[{'text': 'East Germany', 'url': 'https://en.wikipedia.org/wiki/East_Germany'}]","[{'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}]",1,1,1,1,0,,0,0,0,,0
"{'text': 'Ecurie Nationale Belge', 'url': 'https://en.wikipedia.org/wiki/Ecurie_Nationale_Belge'}","[{'text': 'Belgium', 'url': 'https://en.wikipedia.org/wiki/Belgium'}]","[{'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}]",1,1,1,1,0,0,0,0,0,0,0
"{'text': 'Ensign', 'url': 'https://en.wikipedia.org/wiki/Ensign_(racing_team)'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}, {'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}, {'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}, {'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}, {'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}, {'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",134,98,25,154,0,19,0,1,0,0,0
"{'text': 'English Racing Automobiles', 'url': 'https://en.wikipedia.org/wiki/English_Racing_Automobiles'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}]",7,7,7,12,0,,0,0,0,,0
"{'text': 'EuroBrun', 'url': 'https://en.wikipedia.org/wiki/EuroBrun'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}, {'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}]",46,15,5,76,0,0,0,0,0,0,0
"{'text': 'Ferguson Research Ltd.', 'url': 'https://en.wikipedia.org/wiki/Ferguson_Research_Ltd.'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}]",1,1,2,1,0,0,0,0,0,0,0
"{'text': 'FIRST', 'url': 'https://en.wikipedia.org/wiki/FIRST_(constructor)'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}]",1,0,0,0,0,0,0,0,0,0,0
"{'text': 'Fittipaldi Automotive', 'url': 'https://en.wikipedia.org/wiki/Fittipaldi_Automotive'}","[{'text': 'Brazil', 'url': 'https://en.wikipedia.org/wiki/Brazil'}]","[{'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}, {'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}, {'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}, {'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}, {'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",120,103,8,156,0,44,0,0,3,0,0
"{'text': 'Fondmetal', 'url': 'https://en.wikipedia.org/wiki/Fondmetal'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}]",29,19,4,42,0,0,0,0,0,0,0
"{'text': 'Force India', 'url': 'https://en.wikipedia.org/wiki/Force_India'}","[{'text': 'India', 'url': 'https://en.wikipedia.org/wiki/India'}]","[{'year': 2008, 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}, {'year': 2009, 'url': 'https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship'}, {'year': 2010, 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}, {'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}, {'year': 2013, 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}, {'year': 2014, 'url': 'https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship'}, {'year': 2015, 'url': 'https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship'}, {'year': 2016, 'url': 'https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship'}, {'year': 2017, 'url': 'https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship'}, {'year': 2018, 'url': 'https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship'}]",203,203,7,406,0,987,1,5,6,0,0
"{'text': 'Forti', 'url': 'https://en.wikipedia.org/wiki/Forti'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}]",28,23,4,54,0,0,0,0,0,0,0
"{'text': 'Frank Williams Racing Cars', 'url': 'https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}, {'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}, {'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",61,56,25,112,0,6,0,0,0,0,0
"{'text': 'Frazer-Nash', 'url': 'https://en.wikipedia.org/wiki/Frazer_Nash'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}]",4,4,2,4,0,,0,0,0,,0
"{'text': 'Fry', 'url': 'https://en.wikipedia.org/wiki/Fry_(racing_team)'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}]",1,0,1,1,0,0,0,0,0,0,0
"{'text': 'Gilby Engineering', 'url': 'https://en.wikipedia.org/wiki/Gilby_Engineering'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}]",6,3,2,6,0,0,0,0,0,0,0
"{'text': 'Gordini', 'url': 'https://en.wikipedia.org/wiki/Gordini'}","[{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}]","[{'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}]",33,33,23,101,0,,0,1,2,,0
"{'text': 'Greifzu', 'url': 'https://en.wikipedia.org/wiki/Paul_Greifzu'}","[{'text': 'East Germany', 'url': 'https://en.wikipedia.org/wiki/East_Germany'}]","[{'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}]",1,1,1,1,0,,0,0,0,,0
"{'text': 'Hesketh', 'url': 'https://en.wikipedia.org/wiki/Hesketh_Racing'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",60,52,15,97,1,48,0,1,7,0,0
"{'text': 'Hill', 'url': 'https://en.wikipedia.org/wiki/Embassy_Hill'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}]",11,10,6,21,0,3,0,0,0,0,0
"{'text': 'HRT', 'url': 'https://en.wikipedia.org/wiki/HRT_Formula_1_Team'}","[{'text': 'Spain', 'url': 'https://en.wikipedia.org/wiki/Spain'}]","[{'year': 2010, 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}, {'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}]",58,56,8,116,0,0,0,0,0,0,0
"{'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}","[{'text': 'Japan', 'url': 'https://en.wikipedia.org/wiki/Japan'}]","[{'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}, {'year': 2007, 'url': 'https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship'}, {'year': 2008, 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}]",88,88,8,154,3,154,2,2,9,0,0
"{'text': 'HWM', 'url': 'https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}]",16,14,15,48,0,,0,0,0,,0
"{'text': 'Jaguar', 'url': 'https://en.wikipedia.org/wiki/Jaguar_Racing'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}]",85,85,8,170,0,49,0,0,2,0,0
"{'text': 'JBW', 'url': 'https://en.wikipedia.org/wiki/JBW'}","[{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}]","[{'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}]",6,5,1,6,0,0,0,0,0,0,0
"{'text': 'Jordan', 'url': 'https://en.wikipedia.org/wiki/Jordan_Grand_Prix'}","[{'text': 'Ireland', 'url': 'https://en.wikipedia.org/wiki/Republic_of_Ireland'}]","[{'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}, {'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}]",250,250,30,500,4,291,2,2,19,0,0
"{'text': 'Kauhsen', 'url': 'https://en.wikipedia.org/wiki/Kauhsen'}","[{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}]","[{'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}]",2,0,1,2,0,0,0,0,0,0,0
"{'text': 'Klenk', 'url': 'https://en.wikipedia.org/wiki/Klenk'}","[{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}]","[{'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}]",1,1,1,1,0,,0,0,0,,0
"{'text': 'Kojima', 'url': 'https://en.wikipedia.org/wiki/Kojima_Engineering'}","[{'text': 'Japan', 'url': 'https://en.wikipedia.org/wiki/Japan'}]","[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}]",2,2,3,3,0,0,0,0,0,0,0
"{'text': 'Kurtis Kraft', 'url': 'https://en.wikipedia.org/wiki/Kurtis_Kraft'}","[{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/United_States'}]","[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}]",12,12,129,350,5,0,6,7,16,0,0
"{'text': 'Lambo', 'url': 'https://en.wikipedia.org/wiki/Modena_(racing_team)'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}]",16,6,2,32,0,0,0,0,0,0,0
"{'text': 'Lancia', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Lancia'}","[{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}]","[{'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}]",4,4,4,10,0,,2,1,1,,0
"{'text': 'Larrousse', 'url': 'https://en.wikipedia.org/wiki/Larrousse'}","[{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}]","[{'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}]",32,32,7,64,0,5,0,0,0,0,0
"{'text': 'LDS', 'url': 'https://en.wikipedia.org/wiki/LDS_(automobile)'}","[{'text': 'South Africa', 'url': 'https://en.wikipedia.org/wiki/South_Africa'}]","[{'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}]",5,5,3,8,0,0,0,0,0,0,0
