season,races,countries,first,last,drivers_champion_team,constructors_champion,winners
"{'text': '1988', 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1988_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1988_Australian_Grand_Prix'}","[{'text': 'Ayrton Senna', 'url': 'https://en.wikipedia.org/wiki/Ayrton_Senna'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",3
"{'text': '1989', 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1989_Australian_Grand_Prix'}","[{'text': 'Alain Prost', 'url': 'https://en.wikipedia.org/wiki/Alain_Prost'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",6
"{'text': '1990', 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}",16,15,"{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1990_United_States_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1990_Australian_Grand_Prix'}","[{'text': 'Ayrton Senna', 'url': 'https://en.wikipedia.org/wiki/Ayrton_Senna'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",6
"{'text': '1991', 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}",16,15,"{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1991_United_States_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1991_Australian_Grand_Prix'}","[{'text': 'Ayrton Senna', 'url': 'https://en.wikipedia.org/wiki/Ayrton_Senna'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",5
"{'text': '1992', 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}",16,15,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1992_South_African_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1992_Australian_Grand_Prix'}","[{'text': 'Nigel Mansell', 'url': 'https://en.wikipedia.org/wiki/Nigel_Mansell'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '1993', 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}",16,14,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1993_South_African_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1993_Australian_Grand_Prix'}","[{'text': 'Alain Prost', 'url': 'https://en.wikipedia.org/wiki/Alain_Prost'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",4
"{'text': '1994', 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}",16,13,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1994_Australian_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Benetton', 'url': 'https://en.wikipedia.org/wiki/Benetton_Formula'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",4
"{'text': '1995', 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}",17,14,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1995_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1995_Australian_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Benetton', 'url': 'https://en.wikipedia.org/wiki/Benetton_Formula'}]","[{'text': 'Benetton', 'url': 'https://en.wikipedia.org/wiki/Benetton_Formula'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '1996', 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}",16,14,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1996_Australian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/1996_Japanese_Grand_Prix'}","[{'text': 'Damon Hill', 'url': 'https://en.wikipedia.org/wiki/Damon_Hill'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",4
"{'text': '1997', 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}",17,14,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1997_Australian_Grand_Prix'}","{'text': 'European', 'url': 'https://en.wikipedia.org/wiki/1997_European_Grand_Prix'}","[{'text': 'Jacques Villeneuve', 'url': 'https://en.wikipedia.org/wiki/Jacques_Villeneuve'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",6
"{'text': '1998', 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}",16,14,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1998_Australian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/1998_Japanese_Grand_Prix'}","[{'text': 'Mika Häkkinen', 'url': 'https://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains'}]",4
"{'text': '1999', 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}",16,14,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1999_Australian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/1999_Japanese_Grand_Prix'}","[{'text': 'Mika Häkkinen', 'url': 'https://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",6
"{'text': '2000', 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}",17,15,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2000_Australian_Grand_Prix'}","{'text': 'Malaysian', 'url': 'https://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",4
"{'text': '2001', 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}",17,15,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2001_Australian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",5
"{'text': '2002', 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}",17,15,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2002_Australian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",4
"{'text': '2003', 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}",16,14,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2003_Australian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",8
"{'text': '2004', 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}",18,16,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2004_Australian_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix'}","[{'text': 'Michael Schumacher', 'url': 'https://en.wikipedia.org/wiki/Michael_Schumacher'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",5
"{'text': '2005', 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}",19,17,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2005_Australian_Grand_Prix'}","{'text': 'Chinese', 'url': 'https://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix'}","[{'text': 'Fernando Alonso', 'url': 'https://en.wikipedia.org/wiki/Fernando_Alonso'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]","[{'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '2006', 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}",18,16,"{'text': 'Bahrain', 'url': 'https://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix'}","[{'text': 'Fernando Alonso', 'url': 'https://en.wikipedia.org/wiki/Fernando_Alonso'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]","[{'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '2007', 'url': 'https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship'}",17,17,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2007_Australian_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix'}","[{'text': 'Kimi Räikkönen', 'url': 'https://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",4
"{'text': '2008', 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}",18,17,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2008_Australian_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",7
"{'text': '2009', 'url': 'https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship'}",17,16,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2009_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix'}","[{'text': 'Jenson Button', 'url': 'https://en.wikipedia.org/wiki/Jenson_Button'}, {'text': 'Brawn', 'url': 'https://en.wikipedia.org/wiki/Brawn_GP'}]","[{'text': 'Brawn', 'url': 'https://en.wikipedia.org/wiki/Brawn_GP'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains'}]",6
"{'text': '2010', 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}",19,18,"{'text': 'Bahrain', 'url': 'https://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2010_Abu_Dhabi_Grand_Prix'}","[{'text': 'Sebastian Vettel', 'url': 'https://en.wikipedia.org/wiki/Sebastian_Vettel'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '2011', 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}",19,18,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2011_Australian_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix'}","[{'text': 'Sebastian Vettel', 'url': 'https://en.wikipedia.org/wiki/Sebastian_Vettel'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '2012', 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}",20,19,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2012_Australian_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix'}","[{'text': 'Sebastian Vettel', 'url': 'https://en.wikipedia.org/wiki/Sebastian_Vettel'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",8
"{'text': '2013', 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}",19,19,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2013_Australian_Grand_Prix'}","{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix'}","[{'text': 'Sebastian Vettel', 'url': 'https://en.wikipedia.org/wiki/Sebastian_Vettel'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '2014', 'url': 'https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship'}",19,19,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",3
"{'text': '2015', 'url': 'https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship'}",19,19,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2015_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",3
"{'text': '2016', 'url': 'https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship'}",21,21,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix'}","[{'text': 'Nico Rosberg', 'url': 'https://en.wikipedia.org/wiki/Nico_Rosberg'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",4
"{'text': '2017', 'url': 'https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship'}",20,20,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2017_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",5
"{'text': '2018', 'url': 'https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship'}",21,21,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",5
"{'text': '2019', 'url': 'https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship'}",21,21,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",5
"{'text': '2020', 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}",17,12,"{'text': 'Austrian', 'url': 'https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix'}","[{'text': 'Lewis Hamilton', 'url': 'https://en.wikipedia.org/wiki/Lewis_Hamilton'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",5
"{'text': '2021', 'url': 'https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship'}",22,20,"{'text': 'Bahrain', 'url': 'https://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix'}","[{'text': 'Max Verstappen', 'url': 'https://en.wikipedia.org/wiki/Max_Verstappen'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",6
"{'text': '2022', 'url': 'https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship'}",22,20,"{'text': 'Bahrain', 'url': 'https://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix'}","[{'text': 'Max Verstappen', 'url': 'https://en.wikipedia.org/wiki/Max_Verstappen'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}, {'text': 'RBPT', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Powertrains'}]",5
"{'text': '2023', 'url': 'https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship'}",22,20,"{'text': 'Bahrain', 'url': 'https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix'}","[{'text': 'Max Verstappen', 'url': 'https://en.wikipedia.org/wiki/Max_Verstappen'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}, {'text': 'Honda RBPT', 'url': 'https://en.wikipedia.org/wiki/Honda_RBPT'}]",3
"{'text': '2024', 'url': 'https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship'}",24,21,"{'text': 'Bahrain', 'url': 'https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2024_Abu_Dhabi_Grand_Prix'}","[{'text': 'Max Verstappen', 'url': 'https://en.wikipedia.org/wiki/Max_Verstappen'}, {'text': 'Red Bull', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Racing'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains'}]",7
"{'text': '2025', 'url': 'https://en.wikipedia.org/wiki/2025_Formula_One_World_Championship'}",24,21,"{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix'}","{'text': 'Abu Dhabi', 'url': 'https://en.wikipedia.org/wiki/2025_Abu_Dhabi_Grand_Prix'}",[],"[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains'}]",4
